"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"강동구 강일동 자치회관 해오름(3층)",강일동주민센터,회의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 아리수로93길 9-14,서울특별시 강동구 강일동 678,서울특별시 강동구청,강일동,,,37.5650504,127.1739072,2022-08-23
"강동구 강일동 자치회관 다온(3층)",강일동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 아리수로93길 9-14,서울특별시 강동구 강일동 678,서울특별시 강동구청,강일동,,,37.5650504,127.1739072,2022-08-23
"강동구 상일동 주민센터 3층 2강좌실",상일동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 아리수로93길 9-14,서울특별시 강동구 강일동 678,서울특별시 강동구청,상일동,,,37.5650504,127.1739072,2022-08-23
"강동구 명일1동 자치회관 강의실(3층)",명일1동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 구천면로 633,서울특별시 강동구 상일동 513-2,서울특별시 강동구청,명일1동,,,37.55058375,127.1683004,2022-08-23
"강동구 명일1동 자치회관 다목적실(3층)",명일1동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 구천면로 633,서울특별시 강동구 상일동 513-2,서울특별시 강동구청,명일1동,,,37.55058375,127.1683004,2022-08-23
"강동구 명일2동 자치회관 다목적실(2층)",명일2동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 양재대로138길 37,서울특별시 강동구 명일동 327-5,서울특별시 강동구청,명일2동,,,37.5497246,127.1459682,2022-08-23
"강동구 명일2동 자치회관 소회의실(2층)",명일2동주민센터,회의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 양재대로138길 37,서울특별시 강동구 명일동 327-5,서울특별시 강동구청,명일2동,,,37.5497246,127.1459682,2022-08-23
"강동구 고덕1동 자치회관 제1강의실(3층)",고덕1동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 상암로 260,서울특별시 강동구 명일동 223-7,서울특별시 강동구청,고덕1동,,,37.5463223,127.1513484,2022-08-23
"강동구 고덕1동 자치회관 제2강의실(3층)",고덕1동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 상암로 260,서울특별시 강동구 명일동 223-7,서울특별시 강동구청,고덕1동,,,37.5463223,127.1513484,2022-08-23
"강동구 고덕1동 자치회관 강당(4층)",고덕1동주민센터,강당,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 양재대로156길 123,서울특별시 강동구 고덕동 691-6,서울특별시 강동구청,고덕1동,,,37.55728108,127.1515066,2022-08-23
"강동구 고덕2동 자치회관 다목적실(2층)",고덕2동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 양재대로156길 123,서울특별시 강동구 고덕동 691-6,서울특별시 강동구청,고덕2동,,,37.55728108,127.1515066,2022-08-23
"강동구 고덕2동 자치회관 소회의실(2층)",고덕2동주민센터,회의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 양재대로156길 123,서울특별시 강동구 고덕동 691-6,서울특별시 강동구청,고덕2동,,,37.55728108,127.1515066,2022-08-23
"강동구 암사1동 자치회관 제2강의실(2층)",암사1동 자치회관,강의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 아리수로78길 43-12,서울특별시 강동구 고덕동 226-4,서울특별시 강동구청,암사1동,,,37.56050657,127.1643449,2022-08-23
"강동구 암사1동 자치회관 제1강의실(2층)",암사1동 자치회관,강의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 고덕로24길 49,서울특별시 강동구 암사동 474-6,서울특별시 강동구청,암사1동,,,37.5523331,127.1357214,2022-08-23
"강동구 암사1동 자치회관 다목적실(1층)",암사1동 자치회관,다목적실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 고덕로24길 49,서울특별시 강동구 암사동 474-6,서울특별시 강동구청,암사1동,,,37.5523331,127.1357214,2022-08-23
"강동구 암사2동 자치회관 다목적실(3층)",암사2동 주민센터,강당,공휴일,09:00,21:00,09:00,18:00,Y,3,20000,,,,,,,,서울특별시 강동구 고덕로24길 49,서울특별시 강동구 암사동 474-6,서울특별시 강동구청,암사2동,,,37.5523331,127.1357214,2022-08-23
"강동구 암사2동 자치회관 회의실(3층)",암사2동 주민센터,회의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 고덕로24길 49,서울특별시 강동구 암사동 474-6,서울특별시 강동구청,암사2동,,,37.5523331,127.1357214,2022-08-23
"강동구 암사2동 자치회관 제1강의실(3층)",암사2동 주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 상암로3길 28,서울특별시 강동구 암사동 503-8,서울특별시 강동구청,암사2동,,,37.5517094,127.1272073,2022-08-23
"강동구 암사3동 자치회관 다목적실1(4층)",암사3동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 상암로3길 28,서울특별시 강동구 암사동 503-8,서울특별시 강동구청,암사3동,,,37.5517094,127.1272073,2022-08-23
"강동구 암사3동 자치회관 다목적실2(4층)",암사3동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 상암로3길 28,서울특별시 강동구 암사동 503-8,서울특별시 강동구청,암사3동,,,37.5517094,127.1272073,2022-08-23
"강동구 암사3동 자치회관 회의실(3층)",암사3동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 고덕로 137,서울특별시 강동구 암사동 414-19,서울특별시 강동구청,암사3동,,,37.5549581,127.1407803,2022-08-23
"강동구 암사3동 자치회관 강당(5층)",암사3동주민센터,강당,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 고덕로 137,서울특별시 강동구 암사동 414-19,서울특별시 강동구청,암사3동,,,37.5549581,127.1407803,2022-08-23
"강동구 천호1동  자치회관 회의실(2층)",천호1동주민센터,회의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 고덕로 137,서울특별시 강동구 암사동 414-19,서울특별시 강동구청,천호1동,,,37.5549581,127.1407803,2022-08-23
"강동구 천호1동 자치회관 다목적실(3층)",천호1동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 구천면로42길 59,서울특별시 강동구 천호동 76-2,서울특별시 강동구청,천호1동,,,37.54502087,127.1367917,2022-08-23
"강동구 천호2동 주민센터 회의실(3층)",천호2동주민센터,회의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 구천면로42길 59,서울특별시 강동구 천호동 76-2,서울특별시 강동구청,천호2동,,,37.54502087,127.1367917,2022-08-23
"강동구 천호2동 제1자치회관 다목적실(4층)",천호2동자치회관,다목적실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 올림픽로 698,서울특별시 강동구 천호동 358,서울특별시 강동구청,천호2동,,,37.5434227,127.1254198,2022-08-23
"강동구 천호3동 자치회관 회의실(17층)",천호3동주민센터,회의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 천호대로 1089,서울특별시 강동구 천호동 447-17,서울특별시 강동구청,천호3동,,,37.53660488,127.1331156,2022-08-23
"강동구 성내1동 제1강의실(3층)",성내1동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 진황도로23길 7,서울특별시 강동구 천호동 555,서울특별시 강동구청,성내1동,,,37.54004284,127.1297914,2022-08-23
"강동구 성내1동 제2강의실(3층)",성내1동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 성내로 13,서울특별시 강동구 성내동 539-1,서울특별시 강동구청,성내1동,,,37.53047772,127.1224424,2022-08-23
"강동구 성내2동 자치회관 다목적실(3층)",성내2동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 성내로 13,서울특별시 강동구 성내동 539-1,서울특별시 강동구청,성내2동,,,37.53047772,127.1224424,2022-08-23
"강동구 성내2동 자치회관 새별실(지하1층)",성내2동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 풍성로37가길 62,서울특별시 강동구 성내동 508,서울특별시 강동구청,성내2동,,,37.53243047,127.1295279,2022-08-23
"강동구 성내2동 자치회관 새미실(지하1층)",성내2동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 풍성로37가길 62,서울특별시 강동구 성내동 508,서울특별시 강동구청,성내2동,,,37.53243047,127.1295279,2022-08-23
"강동구 성내3동 자치회관 제1강의실(2층)",성내3동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 풍성로37가길 62,서울특별시 강동구 성내동 508,서울특별시 강동구청,성내3동,,,37.53243047,127.1295279,2022-08-23
"강동구 성내3동 자치회관 다목적실(지하1층)",성내3동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 강동대로53길 76,서울특별시 강동구 성내동 430-29,서울특별시 강동구청,성내3동,,,37.5260027,127.1328729,2022-08-23
"강동구 성내3동 자치회관 제2강의실(2층)",성내3동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 강동대로53길 76,서울특별시 강동구 성내동 430-29,서울특별시 강동구청,성내3동,,,37.5260027,127.1328729,2022-08-23
"강동구 길동 주민센터 회의실(3층)",길동주민센터,회의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 강동대로53길 76,서울특별시 강동구 성내동 430-29,서울특별시 강동구청,길동,,,37.52604217,127.1328839,2022-08-23
"강동구 둔촌2동 자치회관 다목적실(2층)",둔촌2동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 천호대로186길 7,서울특별시 강동구 둔촌동 65,서울특별시 강동구청,둔촌2동,,,37.5333052,127.1419351,2022-08-23
