"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"삼양동주민센터 회의실",삼양동주민센터,회의실,매주 토요일+일요일+공휴일,10:00,18:00,00:00,00:00,N,1,,,,,90,,인터넷+방문+전화,,서울특별시 강북구 솔매로 69,서울특별시 강북구 미아동 791-350,서울특별시 강북구청,삼양동 주민센터,02-3778-4003,https://yeyak.seoul.go.kr/web/main.do,37.6249739,127.0198903,2023-01-04
"미아동주민센터 강의실",미아동주민센터,강의실,매주 토요일+일요일+공휴일,17:00,18:00,00:00,00:00,N,1,,,,,103,,방문+전화,,서울특별시 강북구 솔매로49길 14,서울특별시 강북구 미아동 197-1,서울특별시 강북구청,미아동 주민센터,02-3778-4054,https://yeyak.seoul.go.kr/web/main.do,37.6270904,127.026982,2023-01-04
"송중동주민센터 강당(4층)",송중동주민센터,강당,매주 토요일+일요일+공휴일,09:00,21:00,00:00,00:00,N,1,,,,,198,,인터넷+방문+전화,,서울특별시 강북구 오패산로 162,서울특별시 강북구 미아동 87-141,서울특별시 강북구청,송중동 주민센터,02-3778-4103,https://yeyak.seoul.go.kr/web/main.do,37.6161218,127.033794,2023-01-04
"송중동주민센터 회의실",송중동주민센터,회의실,매주 토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,,,,,96,,인터넷+방문+전화,,서울특별시 강북구 오패산로 162,서울특별시 강북구 미아동 87-141,서울특별시 강북구청,송중동 주민센터,02-3778-4103,https://yeyak.seoul.go.kr/web/main.do,37.6161218,127.033794,2023-01-04
"송중동자치회관 강당(지하)",송중동자치회관,강당,매주 토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,,,,,199,,인터넷+방문+전화,,서울특별시 강북구 도봉로20나길 6,서울특별시 강북구 미아동 138-11,서울특별시 강북구청,송중동 주민센터,02-3778-4103,https://yeyak.seoul.go.kr/web/main.do,37.618314,127.029944,2023-01-04
"송중동자치회관 강의실",송중동자치회관,강의실,매주 토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,,,,,61,,인터넷+방문+전화,,서울특별시 강북구 도봉로20나길 6,서울특별시 강북구 미아동 138-11,서울특별시 강북구청,송중동 주민센터,02-3778-4103,https://yeyak.seoul.go.kr/web/main.do,37.618314,127.029944,2023-01-04
"송천동주민센터 강당",송천동주민센터,강당,매주 토요일+일요일+공휴일,16:00,18:00,00:00,00:00,N,1,,,,,130,,인터넷+방문+전화,,서울특별시 강북구 솔샘로 284,서울특별시 강북구 미아동 860-56,서울특별시 강북구청,송천동 주민센터,02-3778-4159,https://yeyak.seoul.go.kr/web/main.do,37.6182561,127.023867,2023-01-04
"삼각산동주민센터 회의실",삼각산동주민센터,회의실,매주 토요일+일요일+공휴일,10:00,18:00,00:00,00:00,N,1,,,,,43,,인터넷+방문+전화,,서울특별시 강북구 삼양로19길 34,서울특별시 강북구 미아동 813-3,서울특별시 강북구청,삼각산동 주민센터,02-3778-4203,https://yeyak.seoul.go.kr/web/main.do,37.6151481,127.020719,2023-01-04
"번1동주민센터 회의실",번1동주민센터,회의실,매주 토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,,,,,35,,방문+전화,,서울특별시 강북구 덕릉로41길 74,서울특별시 강북구 번동 417-11,서울특별시 강북구청,번1동 주민센터,02-3778-4253,https://yeyak.seoul.go.kr/web/main.do,37.6378913,127.0288472,2023-01-04
"번2동주민센터 회의실",번2동주민센터,회의실,매주 토요일+일요일+공휴일,10:00,18:00,00:00,00:00,N,1,,,,,100,,방문+전화,,서울특별시 강북구 한천로 897,서울특별시 강북구 번동 232,서울특별시 강북구청,번2동 주민센터,02-3778-4303,https://yeyak.seoul.go.kr/web/main.do,37.6318802,127.0390621,2023-01-04
"번3동주민센터 강당",번3동주민센터,강당,매주 토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,,,,,270,,방문+전화,,서울특별시 강북구 한천로105길 21,서울특별시 강북구 번동 242-3,서울특별시 강북구청,번3동 주민센터,02-3778-4366,https://yeyak.seoul.go.kr/web/main.do,37.6258661,127.0465898,2023-01-04
