"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"관악구청 8층 대강당",관악구청,강당,토+일,09:00,22:00,00:00,00:00,Y,3,396000,1,150000,400,496,무대+빔프로젝트+음향시설,인터넷+전화+모바일,,서울특별시 관악구 관악로 145,,서울특별시 관악구청,행정지원과,02-879-5192,,37.47820977,126.9515032,2022-12-15
"관악구 보라매동 자치회관 3층 다목적실",보라매동 주민센터,다목적실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,80,207,책상+의자+방송시설,인터넷+전화+모바일+방문,,서울특별시 관악구 봉천로 279-8,,서울특별시 관악구 보라매동주민센터,보라매동 주민센터,02-879-4209,,37.48817657,126.9327766,2022-12-15
"관악구 보라매동 자치회관 2층 강의실",보라매동 주민센터,강의실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,20,59,책상+의자+방송시설,인터넷+전화+모바일+방문,,서울특별시 관악구 봉천로 279-8,,서울특별시 관악구 보라매동주민센터,보라매동 주민센터,02-879-4209,,37.48817657,126.9327766,2022-12-15
"관악구 성현동 주민센터 2층 정보문화방",성현동 주민센터,다목적실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,10,28,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 구암길 38,,서울특별시 관악구 성현동주민센터,성현동 주민센터,02-879-4270,,37.48952862,126.9481579,2022-12-15
"관악구 중앙동 주민센터 3층 다목적실",중앙동 주민센터,다목적실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,10,25,책상+의자+냉방기,인터넷+전화+모바일,,서울특별시 관악구 양녕로6다길 7,,서울특별시 관악구 중앙동주민센터,중앙동 주민센터,02-879-4294,,37.48419174,126.9497536,2022-12-15
"관악구 중앙동 주민센터 2층 강당",중앙동 주민센터,강당,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,100,207,책상+의자+방송시설+냉난방기,인터넷+전화+모바일,,서울특별시 관악구 양녕로6다길 7,,서울특별시 관악구 중앙동주민센터,중앙동 주민센터,02-879-4294,,37.48419174,126.9497536,2022-12-15
"관악구 중앙동 주민센터 3층 소회의실",중앙동 주민센터,다목적실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,12,25,책상+의자+TV+방송시설,인터넷+전화+모바일,,서울특별시 관악구 양녕로6다길 7,,서울특별시 관악구 중앙동주민센터,중앙동 주민센터,02-879-4294,,37.48419174,126.9497536,2022-12-15
"관악구 중앙동 주민센터 3층 프로그램실",중앙동 주민센터,강의실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,24,35,책상+의자+냉방기,인터넷+전화+모바일,,서울특별시 관악구 양녕로6다길 7,,서울특별시 관악구 중앙동주민센터,중앙동 주민센터,02-879-4294,,37.48419174,126.9497536,2022-12-15
"관악구 청림동 주민센터 4층 대회의실",청림동 주민센터,다목적실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,20,50,책상+의자+방송시설,전화+방문,,서울특별시 관악구 관악로40길 39,,서울특별시 관악구 청림동주민센터,청림동 주민센터,02-879-4326,,37.49184717,126.9586277,2022-12-15
"관악구 청림동 주민센터 3층 따뜻한 청림방",청림동 주민센터,강의실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,10,24,책상+의자,전화+방문,,서울특별시 관악구 관악로40길 39,,서울특별시 관악구 청림동주민센터,청림동 주민센터,02-879-4326,,37.49184654,126.9586273,2022-12-15
"관악구 행운동 자치회관 2층 소회의실",행운동 주민센터,회의실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,15,34,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 행운1길 43,,서울특별시 관악구 행운동주민센터,행운동 주민센터,02-879-4357,,37.48064104,126.9570325,2022-12-15
"관악구 청룡동 주민센터 2층 청룡뜨락",청룡동 주민센터,기타,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,100,162,책상+의자+방송시설,인터넷+전화+방문,,서울특별시 관악구 쑥고개로 45,,서울특별시 관악구 청룡동주민센터,청룡동 주민센터,02-879-4388,,37.47952708,126.9416394,2022-12-15
"관악구 낙성대동 자치회관 3층 다목적실 (복합문화방)",낙성대동 주민센터,다목적실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,20,60,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 낙성대로4가길 5,,서울특별시 관악구 낙성대동주민센터,낙성대동 주민센터,02-879-4416,,37.47629505,126.9583871,2022-12-15
"관악구 낙성대동 자치회관 5층 강의실",낙성대동 주민센터,강의실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,20,60,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 낙성대로4가길 5,,서울특별시 관악구 낙성대동주민센터,낙성대동 주민센터,02-879-4416,,37.47629505,126.9583871,2022-12-15
"관악구 낙성대동 자치회관 2층 회의실",낙성대동 주민센터,회의실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,15,60,책상+의자,인터넷+전화+모바일+방문,,서울특별시 관악구 낙성대로4가길 5,,서울특별시 관악구 낙성대동주민센터,낙성대동 주민센터,02-879-4416,,37.47629505,126.9583871,2022-12-15
"관악구 인헌동 주민센터 2층 다목적실",인헌동 주민센터,다목적실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,30,130,책상+의자+방송시설+노트북+빔프로젝터,인터넷+전화+방문,,서울특별시 관악구 남부순환로246가길 20,,서울특별시 관악구 인헌동주민센터,인헌동 주민센터,02-879-4448,,37.47509931,126.9653247,2022-12-15
"관악구 인헌동 주민센터 3층 취미실",인헌동 주민센터,다목적실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,20,72,책상+의자,인터넷+전화+방문,,서울특별시 관악구 남부순환로246가길 20,,서울특별시 관악구 인헌동주민센터,인헌동 주민센터,02-879-4448,,37.47509931,126.9653247,2022-12-15
"관악구 남현동 자치회관 4층 프로그램2실",남현동 주민센터,강의실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,30,66,책상+의자+방송시설,인터넷+전화+모바일+방문,,서울특별시 관악구 남현1가길 29,,서울특별시 관악구 남현동주민센터,남현동 주민센터,02-879-4477,,37.4746893,126.9778736,2022-12-15
"관악구 신림동 자치회관 2층 회의실",신림동 주민센터,회의실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,50,132,책상+의자+음향시설+노트북+빔프로젝터,인터넷+전화+모바일+방문,,서울특별시 관악구 신림동길 14,,서울특별시 관악구 신림동주민센터,신림동 주민센터,02-879-4505,,37.48739474,126.9271147,2022-12-15
"관악구 신사동 주민센터 3층 강의실",신사동 주민센터,강의실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,20,,책상+의자,전화+방문,,서울특별시 관악구 조원로 142,,서울특별시 관악구 신사동주민센터,신사동 주민센터,02-879-4535,,37.48540905,126.9180914,2022-12-15
"관악구 조원동 자치회관 2층 회의실",조원동 주민센터,회의실,토+일,09:00,18:00,00:00,00:00,Y,1,6000,,,50,114,책상+의자+방송시설+빔프로젝터,인터넷+전화+모바일+방문,,서울특별시 관악구 조원로12길 25,,서울특별시 관악구 조원동주민센터,조원동 주민센터,02-879-4564,,37.48256265,126.9077946,2022-12-15
