"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"신도림동주민센터 2층 문화교실",신도림동주민센터,강의실,토+일,14:00,18:00,00:00,00:00,N,,,,,10,27,,인터넷,,서울특별시 구로구 신도림로 40,서울특별시 구로구 신도림동 390-44,서울특별시 구로구 신도림동주민센터,,02-2620-7100,,37.50779304,126.8805952,2022-10-28
"신도림동주민센터 3층 하모니홀",신도림동주민센터,강의실,토+일,16:00,18:00,00:00,00:00,N,,,,,15,60,,인터넷,,서울특별시 구로구 신도림로 40,서울특별시 구로구 신도림동 390-44,서울특별시 구로구 신도림동주민센터,,02-2620-7100,,37.50779304,126.8805952,2022-10-28
"구로1동 주민센터 2층 회의실",구로1동 주민센터,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,20,55,,인터넷,,서울특별시 구로구 구일로4길 57,서울특별시 구로구 구로동 685-213,서울특별시 구로구 구로1동주민센터,,02-2620-7200,,37.49304008,126.8757883,2022-10-28
"구로2동주민센터 3층 다목적실",구로2동 주민센터,강의실,토+일,13:00,18:00,00:00,00:00,N,,,,,30,160,,인터넷,,서울특별시 구로구 구로동로50길 10,서울특별시 구로구 구로동 494-20,서울특별시 구로구 구로2동주민센터,,02-2620-7300,,37.499238,126.882911,2022-10-28
"구로2동주민센터 3층 프로그램실",구로2동 주민센터,강당,토+일,09:00,18:00,00:00,00:00,N,,,,,30,170,,인터넷,,서울특별시 구로구 구로동로50길 10,서울특별시 구로구 구로동 494-20,서울특별시 구로구 구로2동주민센터,,02-2620-7300,,37.499238,126.882911,2022-10-28
"구로3동주민센터 3층 2강의실",구로3동 주민센터,강의실,토+일,09:00,18:00,00:00,00:00,N,,,,,15,45,,인터넷,,서울특별시 구로구 디지털로31길 109,서울특별시 구로구 구로동 777-22,서울특별시 구로구 구로3동주민센터,,02-2620-7400,,37.48734704,126.8903299561,2022-10-28
"구로3동주민센터 3층 1강의실",구로3동 주민센터,강의실,토+일,09:00,18:00,00:00,00:00,N,,,,,30,70,,인터넷,,서울특별시 구로구 디지털로31길 109,서울특별시 구로구 구로동 777-22,서울특별시 구로구 구로3동주민센터,,02-2620-7400,,37.48734704,126.8903299561,2022-10-28
"구로3동주민센터 4층 3강의실",구로3동 주민센터,강의실,토+일,09:00,18:00,00:00,00:00,N,,,,,25,43,,인터넷,,서울특별시 구로구 디지털로31길 109,서울특별시 구로구 구로동 777-22,서울특별시 구로구 구로3동주민센터,,02-2620-7400,,37.48734704,126.8903299561,2022-10-28
"구로4동자치회관 1층 사랑방",구로4동자치회관,기타,토+일,09:00,18:00,00:00,00:00,N,,,,,10,16,,인터넷,,서울특별시 구로구 도림로 9,서울특별시 구로구 구로동 803-5,서울특별시 구로구 구로4동주민센터,,02-2620-7500,,37.48564772,126.8866217,2022-10-28
"구로4동자치회관 2층 다목적실",구로4동자치회관,다목적실,토+일,09:00,18:00,00:00,00:00,N,,,,,20,110,,인터넷,,서울특별시 구로구 도림로 9,서울특별시 구로구 구로동 803-5,서울특별시 구로구 구로4동주민센터,,02-2620-7500,,37.48567476,126.8866217,2022-10-28
