"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"가산동주민센터 가산사랑방",가산동주민센터,회의실,월+화+수+목+금+토+일,00:00,00:00,00:00,00:00,N,1,0,0,0,12,38,책상+의자+냉난방+와이파이,인터넷+방문+전화,,,서울특별시 금천구 가산동 142-45,서울특별시 금천구 가산동주민센터,,02-2627-5202,https://www.geumcheon.go.kr/portal/contents.do?key=651,37.47741735,126.8916088,2022-09-08
"가산동주민센터 공부방",가산동주민센터,강의실,월+화+수+목+금+토+일,00:00,00:00,00:00,00:00,N,1,0,0,0,24,35,책상+의자+냉난방+와이파이+TV+칠판,인터넷+방문+전화,,,서울특별시 금천구 가산동 142-45,서울특별시 금천구 가산동주민센터,,02-2627-5202,https://www.geumcheon.go.kr/portal/contents.do?key=651,37.47741735,126.8916088,2022-09-08
"금천구청 대회의실",금천구청,회의실,월+화+수+목+금+토+일,00:00,00:00,00:00,00:00,Y,1,20000,1,10000,30,50,책상+의자,인터넷+방문+전화,,서울특별시 금천구 시흥대로 73길 70,,서울특별시 금천구청,,02-2627-1007,https://www.geumcheon.go.kr/,37.45706565,126.8960369,2022-09-08
"금천구청 세미나실",금천구청,회의실,월+화+수+목+금+토+일,00:00,00:00,00:00,00:00,Y,1,20000,1,10000,30,50,책상+의자,인터넷+방문+전화,,서울특별시 금천구 시흥대로 73길 70,,서울특별시 금천구청,,02-2627-1007,https://www.geumcheon.go.kr/,37.45706565,126.8960369,2022-09-08
"금천구청 다목적실",금천구청,회의실,월+화+수+목+금+토+일,00:00,00:00,00:00,00:00,Y,1,20000,1,10000,50,80,책상+의자,인터넷+방문+전화,,서울특별시 금천구 시흥대로 73길 70,,서울특별시 금천구청,,02-2627-1007,https://www.geumcheon.go.kr/,37.45706565,126.8960369,2022-09-08
"금천구청 대강당",금천구청,강당,월+화+수+목+금+토+일,00:00,00:00,00:00,00:00,Y,1,30000,1,15000,300,230,책상+의자,인터넷+방문+전화,,서울특별시 금천구 시흥대로 73길 70,,서울특별시 금천구청,,02-2627-1007,https://www.geumcheon.go.kr/,37.45706565,126.8960369,2022-09-08
"독산1동주민센터 라온방",독산1동주민센터,회의실,월+화+수+목+금+토+일,00:00,00:00,00:00,00:00,Y,1,10000,1,5000,10,27,책상+의자,방문+전화,,서울특별시 금천구 시흥대로123길 11,서울특별시 금천구 독산동 289-5,서울특별시 금천구 독산1동주민센터,,02-2627-5233,https://www.geumcheon.go.kr/portal/contents.do?key=664,37.47021905,126.8970301,2022-09-08
"독산1동주민센터 가온마루",독산1동주민센터,다목적실,월+화+수+목+금+토+일,00:00,00:00,00:00,00:00,Y,1,20000,1,10000,40,125,책상+의자,방문+전화,,서울특별시 금천구 시흥대로123길 11,서울특별시 금천구 독산동 289-5,서울특별시 금천구 독산1동주민센터,,02-2627-5233,https://www.geumcheon.go.kr/portal/contents.do?key=664,37.47021905,126.897041,2022-09-08
"독산1동주민센터 나눔교실2",독산1동주민센터,강의실,월+화+수+목+금+토+일,00:00,00:00,00:00,00:00,Y,1,20000,1,10000,60,117,책상+의자,방문+전화,,서울특별시 금천구 시흥대로123길 11,서울특별시 금천구 독산동 289-5,서울특별시 금천구 독산1동주민센터,,02-2627-5233,https://www.geumcheon.go.kr/portal/contents.do?key=664,37.47021905,126.897041,2022-09-08
"독산1동주민센터 나눔교실1",독산1동주민센터,강의실,월+화+수+목+금+토+일,00:00,00:00,00:00,00:00,Y,1,15000,1,7500,20,56,책상+의자,방문+전화,,서울특별시 금천구 시흥대로123길 11,서울특별시 금천구 독산동 289-5,서울특별시 금천구 독산1동주민센터,,02-2627-5233,https://www.geumcheon.go.kr/portal/contents.do?key=664,37.47021905,126.897041,2022-09-08
