"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"상계2동주민센터 청소년다목적실(지하)",상계2동주민센터,다목적실,월+화+수+목+금+일,00:00,00:00,10:00,14:00,N,,,,,20,91.35,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 상계로118,,서울특별시 노원구청,상계2동주민센터,02-2116-2773,http://yeyak.seoul.go.kr/,37.657415,127.067876,2022-08-17
"상계2동주민센터 다목적방2(5층)",상계2동주민센터,다목적실,월+화+수+목+금+일,00:00,00:00,10:00,14:00,N,,,,,20,72.16,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 상계로118,,서울특별시 노원구청,상계2동주민센터,02-2116-2773,http://yeyak.seoul.go.kr/,37.657415,127.067876,2022-08-17
"상계3.4동주민센터 다목적실(지하1층)",상계3.4동주민센터,다목적실,일,09:00,21:00,09:00,18:00,N,,,,,20,210.84,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 덕릉로 859,,서울특별시 노원구청,상계3.4동주민센터,02-2116-2799,http://yeyak.seoul.go.kr/,37.6729112292,127.083232,2022-08-17
"중계1동주민센터 다목적실(2층)",중계1동주민센터,다목적실,일,16:00,21:00,12:00,18:00,N,,,,,60,68.8,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 한글비석로 279,,서울특별시 노원구청,중계1동주민센터,02-2116-2643,http://yeyak.seoul.go.kr/,37.652507,127.077457,2022-08-17
"상계3.4동주민센터 주민사랑방(2층)",상계3.4동주민센터,다목적실,일,09:00,21:00,09:00,18:00,N,,,,,20,71.4,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 덕릉로 859,,서울특별시 노원구청,상계3.4동주민센터,02-2116-2799,http://yeyak.seoul.go.kr/,37.6729112292,127.083232,2022-08-17
"상계3.4동주민센터 수락홀문화공연장(5층)",상계3.4동주민센터,강당,일,09:00,21:00,09:00,18:00,Y,3,70000,3,70000,250,364.93,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 덕릉로 859,,서울특별시 노원구청,상계3.4동주민센터,02-2116-2799,http://yeyak.seoul.go.kr/,37.6729112292,127.083232,2022-08-17
"상계6.7동주민센터 다목적실(2층)",상계6.7동주민센터,다목적실,일,09:00,20:30,09:00,18:00,N,,,,,30,69,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 노원로 429,,서울특별시 노원구청,상계6.7동주민센터,02-2116-2854,http://yeyak.seoul.go.kr/,37.6548836905,127.066936,2022-08-17
"상계6.7동주민센터 생활체육실(3층)",상계6.7동주민센터,강당,일,09:00,20:30,09:00,18:00,N,,,,,15,56,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 노원로 429,,서울특별시 노원구청,상계6.7동주민센터,02-2116-2854,http://yeyak.seoul.go.kr/,37.6548836905,127.066936,2022-08-17
"상계8동주민센터 다용도방(2층)",상계8동주민센터,다목적실,일,12:00,22:00,14:00,18:00,N,,,,,20,76.1,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 동일로227길 97,,서울특별시 노원구청,상계8동주민센터,02-2116-2884,http://yeyak.seoul.go.kr/,37.6667361763,127.051563,2022-08-17
"상계8동주민센터 다목적방(3층)",상계8동주민센터,다목적실,일,17:00,22:00,16:00,18:00,N,,,,,20,60,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 동일로227길 97,,서울특별시 노원구청,상계8동주민센터,02-2116-2884,http://yeyak.seoul.go.kr/,37.6667361763,127.051563,2022-08-17
