"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"다목적실(16층)",도봉구청,다목적실,법정공휴일,09:00,21:00,09:00,18:00,Y,3,"60,000원(부가세별도)",1,30000,100,50,"빔프로젝트, 방송장비","인터넷, 전화접수",,서울특별시 도봉구 마들로 656,,서울특별시 도봉구청,행정지원과,02-2091-2142,http://www.dobong.go.kr,37.6686287,127.0470496,2019-06-28
"강당",창1동주민센터,강당,법정공휴일,09:00,21:00,09:00,17:00,Y,2,"10,000원",1,5000,100,192,"책상, 의자, 빔프로젝트","인터넷, 전화, 방문접수",,서울특별시 도봉구 해등로 46,,서울특별시 도봉구청,창1동주민센터,02-2091-5678,http://dong.dobong.go.kr/changdong1,37.6483328,127.0437847,2019-06-28
2층 회의실,창3동주민센터,회의실,법정공휴일,09:00,21:00,09:00,17:00,Y,2,"7,000원",1,3500,20,61.2,"책상, 의자","인터넷, 전화, 방문접수",,서울특별시 도봉구 덕릉로62길 89,,서울특별시 도봉구청,창3동주민센터,02-2091-5730,http://dong.dobong.go.kr/changdong3,37.6381103,127.0428666,2019-06-28
"교양강좌실",창5동주민센터,강의실,법정공휴일,09:00,21:00,09:00,17:00,Y,2,"10,000원",1,5000,25,90.7,"화이트보드, 책상, 의자, 빔프로젝트","인터넷, 전화, 방문접수",,서울특별시 도봉구 도봉로136나길 20,,서울특별시 도봉구청,창5동주민센터,02-2091-5779,http://dong.dobong.go.kr/changdong5,37.6562457,127.0434809,2019-06-28
"회의실",창5동주민센터,회의실,법정공휴일,09:00,21:00,09:00,17:00,Y,2,"10,000원",1,5000,25,69,"책상, 의자, 음향시설","인터넷, 전화, 방문접수",,서울특별시 도봉구 도봉로136나길 20,,서울특별시 도봉구청,창5동주민센터,02-2091-5779,http://dong.dobong.go.kr/changdong5,37.6562098,127.0434809,2019-06-28
"대강당",창5동주민센터,강당,법정공휴일,09:00,21:00,09:00,17:00,Y,2,"25,000원",1,12500,150,236,"책상, 의자, 음향시설","인터넷, 전화, 방문접수",,서울특별시 도봉구 도봉로136나길 20,,서울특별시 도봉구청,창5동주민센터,02-2091-5779,http://dong.dobong.go.kr/changdong5,37.6562098,127.0434809,2019-06-28
"다목적강의실",창5동주민센터,강의실,법정공휴일,09:00,21:00,09:00,17:00,Y,2,"10,000원",1,5000,20,107,음향시설,"인터넷. 전화, 방문접수",,서울특별시 도봉구 도봉로136나길 20,,서울특별시 도봉구청,창5동주민센터,02-2091-5779,http://dong.dobong.go.kr/changdong5,37.6562098,127.0434809,2019-06-28
2층 교양강좌실,도봉1동주민센터,회의실,법정공휴일,09:00,21:00,10:00,18:00,Y,2,"5,000원",1,2500,20,50,"책상, 의자, 유무선마이크 등","인터넷, 전화, 방문접수",,서울특별시 도봉구 도봉로169나길 22,,서울특별시 도봉구청,도봉1동주민센터,02-2091-5807,http://dong.dobong.go.kr/dobong1/,37.6786704,127.0433569,2019-06-28
3층 대강당,도봉1동주민센터,강당,법정공휴일,07:00,21:00,10:00,18:00,Y,2,"10,000원",1,5000,100,231,"빔프로젝트, 의자, 유선마이크","인터넷, 전화, 방문접수",,서울특별시 도봉구 도봉로169나길 22,,서울특별시 도봉구청,도봉1동주민센터,02-2091-5807,http://dong.dobong.go.kr/dobong1/,37.6786704,127.0433569,2019-06-28
"주민사랑방",도봉2동주민센터,회의실,법정공휴일,09:00,21:00,10:00,18:00,Y,2,"5,000원",1,2500,20,50,"테이블, 의자","인터넷, 전화, 방문신청",,서울특별시 도봉구 마들로 668,,서울특별시 도봉구청,도봉2동주민센터,02-2091-5834,http://dong.dobong.go.kr/dobong2/,37.6696229,127.0465415,2019-06-28
