"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"동대문구 용신동주민센터 다목적 강당",용신동주민센터,강의실,토+일+공휴일,09:00,21:00,00:00,00:00,Y,2,20000,1,10000,80,217,의자+음향시설,인터넷+전화+방문,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_284115,서울특별시 동대문구 천호대로 27길 35,,서울특별시 동대문구 용신동,,02-2171-6023,yeyak.seoul.go.kr/web/main.do,37.57580011,127.0372689,2022-08-24
"동대문구 용신동주민센터 문화강좌실",용신동주민센터,강당,토+일+공휴일,09:00,18:00,00:00,00:00,Y,2,15000,1,7500,15,43,탁자+의자,인터넷+전화+방문,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_276913,서울특별시 동대문구 천호대로 27길 35,,서울특별시 동대문구 용신동,,02-2171-6023,yeyak.seoul.go.kr/web/main.do,37.57580011,127.0372689,2022-08-24
"동대문구 제기동 주민센터 (3층 회의실)",제기동주민센터,회의실,토+일+공휴일,10:00,12:00,00:00,00:00,Y,2,15000,1,7500,20,41,탁자+의자+화이트보드,인터넷+전화+방문,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_278380,서울특별시 동대문구 약령시로 71,,서울특별시 동대문구 제기동,,02-2171-6063,yeyak.seoul.go.kr/web/main.do,37.5831288,127.0378776,2022-08-24
"동대문구 제기동 작은도서관(미래뜰)",제기동주민센터,기타,토+일+공휴일,09:00,18:00,00:00,00:00,N,0,0,0,0,40,186,탁자+의자,인터넷+전화+방문,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_277092,서울특별시 동대문구 약령시로 71,,서울특별시 동대문구 제기동,,02-2171-6063,yeyak.seoul.go.kr/web/main.do,37.5831288,127.0378776,2022-08-24
"동대문구 전농1동 주민센터 (3층 회의실)",전농1동주민센터,회의실,토+일+공휴일,09:00,21:00,00:00,00:00,Y,2,20000,1,10000,20,130,탁자+의자+빔프로젝트,인터넷+전화+방문,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_288852,서울특별시 동대문구 서울시립대로 9길 21,,서울특별시 동대문구 전농1동,,02-2171-6103,yeyak.seoul.go.kr/web/main.do,37.5779387,127.0477142,2022-08-24
"동대문구 전농1동 주민센터(전일청소년독서실 5층)",전농1동주민센터,강당,토+일+공휴일,10:00,18:00,00:00,00:00,Y,2,15000,1,7500,20,87,탁자+의자,인터넷+전화+방문,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_284197,서울특별시 동대문구 서울시립대로 9길 21,,서울특별시 동대문구 전농1동,,02-2171-6103,yeyak.seoul.go.kr/web/main.do,37.5779387,127.0477142,2022-08-24
"동대문구 전농2동 주민센터 (4층 2실)",전농2동주민센터,강의실,토+일+공휴일,09:00,21:00,00:00,00:00,Y,2,15000,1,7500,35,59,탁자+의자+화이트보드+공동캐비넷,인터넷+전화+방문,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_289038,서울특별시 동대문구 사가정로 137,,서울특별시 동대문구 전농2동,,02-2171-6143,yeyak.seoul.go.kr/web/main.do,37.5780526,127.0600078,2022-08-24
"동대문구 전농2동 주민센터(5층 강당)",전농2동주민센터,강당,토+일+공휴일,09:00,21:00,00:00,00:00,Y,2,15000,1,7500,35,59,탁자+의자,인터넷+전화+방문,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_278320,서울특별시 동대문구 사가정로 137,,서울특별시 동대문구 전농2동,,02-2171-6143,yeyak.seoul.go.kr/web/main.do,37.5780526,127.0600078,2022-08-24
"동대문구 답십리1동 주민센터(5층 다목적강당)",답십리1동주민센터,회의실,토+일+공휴일,09:00,20:00,00:00,00:00,Y,2,15000,1,7500,100,329,탁자+의자+빔프로젝트+음향시설,인터넷+전화+방문,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_287301,서울특별시 동대문구 사가정로 30,,서울특별시 동대문구 답십리1동,,02-2171-6223,yeyak.seoul.go.kr/web/main.do,37.57184437,127.051238,2022-08-24
"동대문구 답십리1동 주민센터(6층 다목적실)",답십리1동주민센터,다목적실,토+일+공휴일,09:00,20:00,00:00,00:00,Y,2,15000,1,7500,30,272,,인터넷+전화+방문,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=SVC_IMG_FILE_287301,서울특별시 동대문구 사가정로 30,,서울특별시 동대문구 답십리1동,,02-2171-6223,yeyak.seoul.go.kr/web/main.do,37.57184437,127.051238,2022-08-24
