"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"서초1동주민센터 소회의실",서초1동주민센터,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 사임당로 89,,서울특별시 서초구 서초1동주민센터,,,,37.49019154,127.0194671,2022-11-30
"서초1동주민센터 주민사랑방",서초1동주민센터,기타,토+일,09:00,20:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 사임당로 89,,서울특별시 서초구 서초1동주민센터,,,,37.49019154,127.0194671,2022-11-30
"서초2동주민센터 문화교실 2",서초2동주민센터,강의실,토+일,09:00,20:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 서초대로70길 51,,서울특별시 서초구 서초2동주민센터,,,,37.49206947,127.0249478,2022-11-30
"서초2동주민센터 문화교실 3",서초2동주민센터,강의실,토+일,09:00,20:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 서초대로70길 51,,서울특별시 서초구 서초2동주민센터,,,,37.49206947,127.0249478,2022-11-30
"서초3동주민센터 강의실 3",서초3동주민센터,강의실,토+일,09:00,18:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 반포대로 34,,서울특별시 서초구 서초3동주민센터,,,,37.48371635,127.0119913,2022-11-30
"서초4동주민센터 문화교실 2",서초4동주민센터,강의실,토+일,10:00,17:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 서운로26길 3,,서울특별시 서초구 서초4동주민센터,,,,37.50271558,127.0222100225,2022-11-30
"잠원동주민센터 대강당",잠원동주민센터,강당,토+일,09:00,21:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 나루터로 38,,서울특별시 서초구 잠원동주민센터,,,,37.51496808,127.0139821,2022-11-30
"잠원동주민센터 문화교실 2",잠원동주민센터,강의실,토+일,09:00,18:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 나루터로 38,,서울특별시 서초구 잠원동주민센터,,,,37.51496808,127.0139821,2022-11-30
"잠원동주민센터 문화교실 5",잠원동주민센터,강의실,토+일,09:00,18:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 나루터로 38,,서울특별시 서초구 잠원동주민센터,,,,37.51496808,127.0139821,2022-11-30
"반포1동주민센터 소회의실",반포1동주민센터,회의실,토+일,10:00,17:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 사평대로 273,,서울특별시 서초구 반포1동주민센터,,,,37.50509404,127.0133786,2022-11-30
"반포2동주민센터 소회의실",반포2동주민센터,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 신반포로15길 16,,서울특별시 서초구 반포2동주민센터,,,,37.50458659,126.9944715,2022-11-30
"반포3동주민센터 문화교실 3",반포3동주민센터,강의실,토+일,14:00,18:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 신반포로23길 78,,서울특별시 서초구 반포3동주민센터,,,,37.512047,127.0056087,2022-11-30
"반포3동주민센터 대강당",반포3동주민센터,강당,토+일,10:00,14:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 신반포로23길 78,,서울특별시 서초구 반포3동주민센터,,,,37.512047,127.0056087,2022-11-30
"반포4동주민센터 소회의실",반포4동주민센터,회의실,토+일,10:00,17:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 사평대로28길 70,,서울특별시 서초구 반포4동주민센터,,,,37.49748589,127.000304,2022-11-30
"방배본동주민센터 소회의실",방배본동주민센터,회의실,토+일,10:00,17:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 동광로19길 38,,서울특별시 서초구 방배본동주민센터,,,,37.494149,126.988845,2022-11-30
"방배1동주민센터 소회의실",방배1동주민센터,회의실,토+일,10:00,17:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 효령로29길 43,,서울특별시 서초구 방배1동주민센터,,,,37.483375,126.9945139,2022-11-30
"방배1동주민센터 다목적실",방배1동주민센터,기타,토+일,14:00,17:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 효령로29길 43,,서울특별시 서초구 방배1동주민센터,,,,37.483375,126.9945139,2022-11-30
"방배2동주민센터 강당",방배2동주민센터,강당,토+일,10:00,17:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 청두곶길 36,,서울특별시 서초구 방배2동주민센터,,,,37.47977264,126.9855596,2022-11-30
"방배3동주민센터 회의실",방배3동주민센터,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 방배로 40,,서울특별시 서초구 방배3동주민센터,,,,37.47843876,126.999981,2022-11-30
"방배4동주민센터 열린사랑방",방배4동주민센터,기타,토+일,09:00,18:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 방배로 173,,서울특별시 서초구 방배4동주민센터,,,,37.4890712,126.9922424,2022-11-30
"방배4동주민센터 회의실",방배4동주민센터,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,,,,,,서울특별시 서초구 방배로 173,,서울특별시 서초구 방배4동주민센터,,,,37.4890712,126.9922424,2022-11-30
