"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"금호1가동 주민센터 공유부엌",금호1가동 주민센터,기타,토+일,13:00,21:00,00:00,00:00,Y,2,20000,1,10000,15,68,,인터넷 예약,,서울특별시 성동구 행당로 15,서울특별시 성동구 금호동1가 127-2,서울특별시 성동구청,금호1가동 주민센터,02-2286-7351,http://yeyak.seoul.go.kr,37.5548599913,127.0216494408,2022-11-23
"금호1가동 주민센터 다목적실",금호1가동 주민센터,다목적실,연중무휴,13:00,22:00,13:00,21:00,Y,2,20000,1,10000,50,273.92,,인터넷 예약,,서울특별시 성동구 행당로 15,서울특별시 성동구 금호동1가 127-2,서울특별시 성동구청,금호1가동 주민센터,02-2286-7351,http://yeyak.seoul.go.kr,37.5548599913,127.0216494408,2022-11-23
"금호1가동 주민센터 북카페(책단지 꿀단지)",금호1가동 주민센터,기타,토+일,13:00,17:00,00:00,00:00,Y,2,20000,1,10000,10,71,,인터넷 예약,,서울특별시 성동구 행당로 15,서울특별시 성동구 금호동1가 127-2,서울특별시 성동구청,금호1가동 주민센터,02-2286-7351,http://yeyak.seoul.go.kr,37.5548599913,127.0216494408,2022-11-23
"금호1가동 주민센터 소회의실",금호1가동 주민센터,회의실,일,10:00,18:00,10:00,18:00,Y,2,20000,1,10000,30,86,,인터넷 예약,,서울특별시 성동구 행당로 15,서울특별시 성동구 금호동1가 101,서울특별시 성동구청,금호1가동 주민센터,02-2286-7351,http://yeyak.seoul.go.kr,37.5548599913,127.0216494408,2022-11-23
"금호1가동 주민센터 숲속아트홀",금호1가동 주민센터,기타,토+일,13:00,21:00,00:00,00:00,Y,2,20000,1,10000,30,125,,인터넷 예약,,서울특별시 성동구 행당로 15,서울특별시 성동구 금호동1가 101,서울특별시 성동구청,금호1가동 주민센터,02-2286-7351,http://yeyak.seoul.go.kr,37.5548599913,127.0216494408,2022-11-23
"금호2-3가동 자치회관 3층 다목적방",금호2-3가동 주민센터,다목적실,일+공휴일,09:00,18:00,09:00,18:00,Y,2,20000,1,10000,60,207.9,,인터넷 예약,,서울특별시 성동구 금호동2가 무수막18길 1,서울특별시 성동구 금호동2가 1212,서울특별시 성동구청,금호2-3가동 주민센터,02-2286-7364,http://yeyak.seoul.go.kr,37.553239,127.0209110953,2022-11-23
"금호2-3가동 주민센터 강의실",금호2-3가동 주민센터,강의실,일+공휴일,09:00,18:00,09:00,18:00,Y,2,20000,1,10000,30,66,,인터넷 예약,,서울특별시 성동구 금호동2가 무수막18길 1,서울특별시 성동구 금호동2가 1212,서울특별시 성동구청,금호2-3가동 주민센터,02-2286-7364,http://yeyak.seoul.go.kr,37.553239,127.0209110953,2022-11-23
"금호2-3가동 주민센터 동아리방",금호2-3가동 주민센터,기타,일+공휴일,09:00,18:00,09:00,18:00,Y,2,20000,1,10000,10,33,,인터넷 예약,,서울특별시 성동구 금호동2가 무수막18길 1,서울특별시 성동구 금호동2가 1212,서울특별시 성동구청,금호2-3가동 주민센터,02-2286-7364,http://yeyak.seoul.go.kr,37.553239,127.0209110953,2022-11-23
"금호4가동 주민센터 다목적실",금호4가동 주민센터,다목적실,토+일,09:00,20:00,00:00,00:00,Y,2,20000,1,10000,50,295,,전화 사전확인 후 예약,,서울특별시 성동구 독서당로46길 26(금호동4가),,서울특별시 성동구청,금호4가동 주민센터,02-2286-7383,http://yeyak.seoul.go.kr,37.547181,127.022352,2022-11-23
"금호4가동 주민센터 소회의실",금호4가동 주민센터,회의실,토+일,09:00,20:00,00:00,00:00,Y,2,20000,1,10000,30,64,,전화 사전확인 후 예약,,서울특별시 성동구 독서당로46길 26(금호동4가),,서울특별시 성동구청,금호4가동 주민센터,02-2286-7383,http://yeyak.seoul.go.kr,37.547181,127.022352,2022-11-23
