"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"길음1동자치회관 4층 강당",길음1동자치회관,강당,토+일,09:00,20:00,00:00,00:00,Y,2,30000,,,100,231,실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음,,,서울특별시 성북구 길음로 92,서울특별시 성북구 길음동 1281-7,서울특별시 성북구,길음1동주민센터,02-2241-5447,www.sb.go.kr,37.61048654,127.0194561,2022-08-02
"길음1동자치회관 3층 2강의실",길음1동자치회관,회의실,토+일,09:00,20:00,00:00,00:00,Y,2,30000,,,20,35,실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음,,,서울특별시 성북구 길음로 92,서울특별시 성북구 길음동 1281-7,서울특별시 성북구,길음1동주민센터,02-2241-5447,www.sb.go.kr,37.61048654,127.0194561,2022-08-02
"길음2동자치회관 2층 대강당",길음2동자치회관,강당,토+일,09:00,18:00,00:00,00:00,N,,,,,50,112,실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음,,,서울특별시 성북구 삼양로2길 70,서울특별시 성북구 길음동 1064-3,서울특별시 성북구,길음2동주민센터,02-2241-5485,www.sb.go.kr,37.60680733,127.0272794,2022-08-02
"돈암1동자치회관 2층 강당",돈암1동자치회관,강당,토+일,09:00,18:00,00:00,00:00,Y,2,20000,,,50,161,실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음,,,서울특별시 성북구 정릉로 394,서울특별시 성북구 돈암동 1-1,서울특별시 성북구,돈암1동주민센터,02-2241-5124,www.sb.go.kr,37.60341486,127.0263745,2022-08-02
"돈암1동자치회관 3층 강의실",돈암1동자치회관,강의실,토+일,09:00,21:00,00:00,00:00,Y,2,20000,,,15,25,실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음,,,서울특별시 성북구 정릉로 394,서울특별시 성북구 돈암동 1-1,서울특별시 성북구,돈암1동주민센터,02-2241-5124,www.sb.go.kr,37.60341486,127.0263745,2022-08-02
"돈암2동자치회관 2층 다목적실",돈암2동자치회관,강당,토+일,09:00,18:00,00:00,00:00,N,,,,,20,80,실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음,,,서울특별시 성북구 흥천사길 7,서울특별시 성북구 돈암동 603-1,서울특별시 성북구,돈암2동주민센터,02-2241-5164,www.sb.go.kr,37.59801698,127.010539,2022-08-02
"돈암2동자치회관 회의실",돈암2동자치회관,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,15,25,실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음,,,서울특별시 성북구 흥천사길 7,서울특별시 성북구 돈암동 603-1,서울특별시 성북구,돈암2동주민센터,02-2241-5164,www.sb.go.kr,37.59801698,127.010539,2022-08-02
"동선동자치회관 지하 다목적실",동선동자치회관,강당,토+일,09:00,18:00,00:00,00:00,Y,1,20000,,,20,96,실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음,,,서울특별시 성북구 동소문로26길 27,서울특별시 성북구 동선동3가 130-7,서울특별시 성북구,동선동주민센터,02-2241-5084,www.sb.go.kr,37.59398014,127.0204087,2022-08-02
"동선동자치회관 2층 회의실",동선동자치회관,회의실,토+일,09:00,18:00,00:00,00:00,Y,1,20000,,,20,70,실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음,,,서울특별시 성북구 동소문로26길 27,서울특별시 성북구 동선동3가 130-7,서울특별시 성북구,동선동주민센터,02-2241-5084,www.sb.go.kr,37.59398014,127.0204087,2022-08-02
"동선동자치회관 3층 대강당",동선동자치회관,강당,토+일,09:00,18:00,00:00,00:00,Y,1,20000,,,50,111,실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음,,,서울특별시 성북구 동소문로26길 27,서울특별시 성북구 동선동3가 130-7,서울특별시 성북구,동선동주민센터,02-2241-5084,www.sb.go.kr,37.59398014,127.0204087,2022-08-02
