"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"가락본동주민센터",가락본동주민센터,회의실,공휴일,16:00,18:00,10:00,14:00,N,,,,,20,70,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 송파대로 28길 39,,서울특별시 송파구청,,02-2147-4446,http://yeyak.seoul.go.kr,37.495554,127.121772,2020-02-20
"가락본동주민센터",가락본동주민센터,다목적실,공휴일,16:00,21:00,10:00,14:00,N,,,,,60,70,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 송파대로 28길 39,,서울특별시 송파구청,,02-2147-4446,http://yeyak.seoul.go.kr,37.495554,127.121772,2020-02-20
"거여1동주민센터",거여1동주민센터,다목적실,공휴일,14:00,21:00,10:00,14:00,N,,,,,50,154,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 오금로 53길 32,,서울특별시 송파구청,,02-2147-4066,http://yeyak.seoul.go.kr,37.496952,127.1433058,2020-02-20
"거여1동주민센터",거여1동주민센터,기타,공휴일,14:00,21:00,00:00,00:00,N,,,,,20,68,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 오금로 53길 32,,서울특별시 송파구청,,02-2147-4066,http://yeyak.seoul.go.kr,37.496952,127.1433058,2020-02-20
"거여1동주민센터",거여1동주민센터,회의실,공휴일,14:00,21:00,10:00,14:00,N,,,,,15,73,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 오금로 53길 32,,서울특별시 송파구청,,02-2147-4066,http://yeyak.seoul.go.kr,37.496952,127.1433058,2020-02-20
"거여2동주민센터",거여2동주민센터,강의실,공휴일,09:00,18:00,00:00,00:00,Y,2,"10,000",,,20,32,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 거마로 2길 19,,서울특별시 송파구청,,02-2147-4097,http://yeyak.seoul.go.kr,37.493513,127.146815,2020-02-20
"거여2동주민센터",거여2동주민센터,회의실,공휴일,09:00,18:00,00:00,00:00,Y,2,"10,000",,,15,35,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 거마로 2길 19,,서울특별시 송파구청,,02-2147-4097,http://yeyak.seoul.go.kr,37.493513,127.146815,2020-02-20
"거여2동주민센터",거여2동주민센터,강의실,공휴일,09:00,18:00,00:00,00:00,Y,2,"10,000",,,20,37,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 거마로 2길 19,,서울특별시 송파구청,,02-2147-4097,http://yeyak.seoul.go.kr,37.493513,127.146815,2020-02-20
"마천1동주민센터",마천1동주민센터,회의실,공휴일,18:00,20:00,10:00,14:00,N,,,,,10,39,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 마천로 303,,서울특별시 송파구청,,02-2147-4129,http://yeyak.seoul.go.kr,37.49600417,127.1499488,2020-02-20
"마천1동주민센터",마천1동주민센터,다목적실,공휴일,18:00,20:00,10:00,14:00,N,,,,,30,76,"책상,의자",인터넷.전화.방문.앱,,서울특별시 송파구 마천로 303,,서울특별시 송파구청,,02-2147-4129,http://yeyak.seoul.go.kr,37.49600417,127.1499488,2020-02-20
