"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"양천구 나눔누리센터 강당",나눔누리센터,강당,토+일,10:00,18:00,00:00,00:00,Y,2,20000,,,100,247,책상+의자,인터넷+전화+방문,,서울특별시 양천구 중앙로 250(신정동),,서울특별시 양천구 나눔누리센터,나눔누리센터,02-2620-3099,https://yeyak.seoul.go.kr/web/main.do,37.518902,126.853723,2022-11-19
"양천구 목1동자치회관 대강당",목1동자치회관,강당,토+일,13:00,20:00,00:00,00:00,Y,2,6000,,,80,128,의자+앰프,인터넷+전화+방문,,서울특별시 양천구 목동서로 192 (목동),,서울특별시 양천구 목1동 주민센터,목1동 주민센터,02-2620-3959,https://yeyak.seoul.go.kr/web/main.do,37.530365,126.871189,2022-11-19
"양천구 목1동자치회관 제1강의실",목1동자치회관,강의실,토+일,12:00,21:00,00:00,00:00,Y,2,4000,,,36,41,책상+의자+화이트보드,인터넷+전화+방문,,서울특별시 양천구 목동서로 192 (목동),,서울특별시 양천구 목1동 주민센터,목1동 주민센터,02-2620-3959,https://yeyak.seoul.go.kr/web/main.do,37.530365,126.871189,2022-11-19
"양천구 목2동자치회관 문화창작실",목2동자치회관,강의실,일,12:00,19:00,10:00,14:00,Y,2,10000,,,40,60,책상+의자+화이트보드,인터넷+전화+방문,,서울특별시 양천구 목동중앙본로 120 (목동),,서울특별시 양천구 목2동 주민센터,목2동 주민센터,02-2620-3972,https://yeyak.seoul.go.kr/web/main.do,37.546115,126.871702,2022-11-19
"양천구 목2동자치회관 어울림사랑방",목2동자치회관,기타,연중무휴,10:00,20:00,14:00,18:00,N,,,,,15,40,책상+의자,인터넷+전화+방문,,서울특별시 양천구 목동중앙본로32길 7,,서울특별시 양천구 목2동 주민센터,목2동 주민센터,02-2620-3972,https://yeyak.seoul.go.kr/web/main.do,37.545398,126.871557,2022-11-19
"양천구 목2동자치회관 취미교실",목2동자치회관,강의실,일,09:00,20:00,10:00,14:00,Y,2,10000,,,20,30,책상+의자+화이트보드,인터넷+전화+방문,,서울특별시 양천구 목동중앙본로 120 (목동),,서울특별시 양천구 목2동 주민센터,목2동 주민센터,02-2620-3972,https://yeyak.seoul.go.kr/web/main.do,37.546115,126.871702,2022-11-19
"양천구 목2동자치회관 용왕산 숲속활력소",목2동자치회관,기타,월+수+목+금+토+일,09:00,18:00,00:00,00:00,N,,,,,20,33,책상+의자+화이트보드+개수대,인터넷+전화+방문,,서울특별시 양천구 용왕정길 30(목동),,서울특별시 양천구 목2동 주민센터,목2동 주민센터,02-2620-3972,https://yeyak.seoul.go.kr/web/main.do,37.5440848,126.8777206,2022-11-19
"양천구 목3동 자치회관 다목적홀",목3동자치회관,다목적실,일,10:00,21:00,09:00,13:00,Y,3,20000,,,100,125,의자+앰프,인터넷+전화+방문,,서울특별시 양천구 목동중앙남로16나길 55 (목동),,서울특별시 양천구 목3동 주민센터,목3동 주민센터,02-2620-3990,https://yeyak.seoul.go.kr/web/main.do,37.544715,126.864425,2022-11-19
"양천구 목3동 자치회관 배움터3",목3동자치회관,강의실,일,15:00,21:00,09:00,13:00,Y,2,10000,,,24,20,책상+의자+칠판,인터넷+전화+방문,,서울특별시 양천구 목동중앙남로16나길 55 (목동),,서울특별시 양천구 목3동 주민센터,목3동 주민센터,02-2620-3990,https://yeyak.seoul.go.kr/web/main.do,37.544715,126.864425,2022-11-19
"양천구 목4동자치회관 지하회의실",목4동자치회관,회의실,일,09:00,21:00,09:00,13:00,Y,2,4000,,,30,108,책상+의자+화이트보드,인터넷+전화+방문,,서울특별시 양천구 목동중앙로 25 (목동),,서울특별시 양천구 목4동 주민센터,목4동 주민센터,02-2620-4004,https://yeyak.seoul.go.kr/web/main.do,37.532434,126.868328,2022-11-19
