"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"한남동주민센터",2층 컴퓨터실,기타,"토, 일, 공휴일",09:00,18:00,00:00,00:00,Y,1,15000,1,7500,26,60,,인터넷+전화+방문,,서울특별시 용산구 대사관로5길 1,,한남동주민센터,행정민원팀,02-2199-8666,http://yeyak.seoul.go.kr,37.53456498,127.0004933,2021-09-15
"한남동주민센터",3층 다목적실,다목적실,"토, 일, 공휴일",14:00,18:00,00:00,00:00,Y,1,25000,1,12500,100,155,,인터넷+전화+방문,,서울특별시 용산구 대사관로5길 1,,한남동주민센터,행정민원팀,02-2199-8666,http://yeyak.seoul.go.kr,37.53456498,127.0004933,2021-09-15
"한남동주민센터",제천회관 1층강당,강당,"토, 일, 공휴일",00:00,00:00,10:00,18:00,Y,1,25000,1,12500,100,159,,인터넷+전화+방문,,서울특별시 용산구 대사관로34길 49,,한남동주민센터,행정민원팀,02-2199-8666,http://yeyak.seoul.go.kr,37.53123833,127.0062225,2021-09-15
"서빙고동주민센터",2층소강당,강당,"토, 일, 공휴일",13:00,22:00,10:00,18:00,Y,1,20000,1,10000,20,113,,인터넷+전화+방문,,서울특별시 용산구 서빙고로 279,,서빙고동주민센터,행정민원팀,02-2199-8686,http://yeyak.seoul.go.kr,37.5204768,126.9946517,2021-09-15
"서빙고동주민센터",5층대강당,강당,"토, 일, 공휴일",14:00,22:00,10:00,18:00,Y,1,30000,1,15000,50,250,,인터넷+전화+방문,,서울특별시 용산구 서빙고로 279,,서빙고동주민센터,행정민원팀,02-2199-8686,http://yeyak.seoul.go.kr,37.5204768,126.9946517,2021-09-15
"서빙고동주민센터",6층회의실,회의실,"토, 일, 공휴일",09:00,22:00,10:00,18:00,Y,1,15000,1,7500,20,80,,인터넷+전화+방문,,서울특별시 용산구 서빙고로 279,,서빙고동주민센터,행정민원팀,02-2199-8686,http://yeyak.seoul.go.kr,37.5204768,126.9946517,2021-09-15
"서빙고동주민센터",청소년휴카페,기타,"토, 일, 공휴일",09:00,21:00,10:00,18:00,N,1,0,1,0,20,40,,인터넷+전화+방문,,서울특별시 용산구 서빙고로 279,,서빙고동주민센터,행정민원팀,02-2199-8686,http://yeyak.seoul.go.kr,37.5204768,126.9946517,2021-09-15
"보광동주민센터",3층 회의실,회의실,"토, 일, 공휴일",09:00,20:00,00:00,00:00,Y,1,15000,1,7500,30,52,,인터넷+전화+방문,,서울특별시 용산구 장문로 95,,보광동주민센터,행정민원팀,02-2199-8706,http://yeyak.seoul.go.kr,37.526301,127.000181,2021-09-15
"보광동주민센터",4층 체육실,체육관,"토, 일, 공휴일",14:00,20:00,00:00,00:00,Y,1,25000,1,12500,40,155,,인터넷+전화+방문,,서울특별시 용산구 장문로 95,,보광동주민센터,행정민원팀,02-2199-8706,http://yeyak.seoul.go.kr,37.526301,127.000181,2021-09-15
"보광동주민센터",5층 강당,강당,"토, 일, 공휴일",09:00,20:00,00:00,00:00,Y,1,25000,1,12500,100,155,,인터넷+전화+방문,,서울특별시 용산구 장문로 95,,보광동주민센터,행정민원팀,02-2199-8706,http://yeyak.seoul.go.kr,37.526301,127.000181,2021-09-15
