"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"녹번동 자치회관 3층 다목적실",녹번동 자치회관,다목적실,휴관중,11:00,21:00,12:00,16:00,Y,2,15000,,,50,92,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 은평로 195,,서울특별시 은평구청,녹번동,02-351-5022,http://yeyak.seoul.go.kr/,37.6021512900,126.9299246000,2021-09-01
"녹번동 자치회관 3층 제1강의실",녹번동 자치회관,강의실,휴관중,09:00,21:00,12:00,16:00,Y,2,10000,,,20,44,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 은평로 195,,서울특별시 은평구청,녹번동,02-351-5022,http://yeyak.seoul.go.kr/,37.6024574200,126.9288229000,2021-09-01
"녹번동 자치회관 3층 제2강의실",녹번동 자치회관,강의실,휴관중,09:00,21:00,12:00,16:00,Y,2,10000,,,20,43,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 은평로 195,,서울특별시 은평구청,녹번동,02-351-5022,http://yeyak.seoul.go.kr/,37.6021692500,126.9298226000,2021-09-01
"불광1동주민센터 본관4층",불광1동 자치회관,다목적실,휴관중,09:00,21:00,10:00,14:00,Y,2,20000,,,50,116,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 진흥로15길 10,,서울특별시 은평구청,불광1동,02-351-5052,http://yeyak.seoul.go.kr/,37.6103527300,126.9320881000,2021-09-01
"불광1동주민센터 본관1층(주민개방용 공실)",불광1동 자치회관,주민사랑방,휴관중,09:00,18:00,10:00,14:00,Y,2,10000,,,5,10,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 진흥로15길 10,,서울특별시 은평구청,불광1동,02-351-5052,http://yeyak.seoul.go.kr/,37.6103527300,126.9320881000,2021-09-01
"불광2동 자치회관 다목적실(월,화,수,목,금)",불광2동 자치회관,다목적실,휴관중,09:00,21:00,00:00,00:00,Y,2,15000,,,60,92,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 연서로41길 16,,서울특별시 은평구청,불광2동,02-351-5063,http://yeyak.seoul.go.kr/,37.6264887200,126.9272765586,2021-09-01
"갈현1동문화의집 문화관람실(4층)",갈현1동 문화의집,다목적실,휴관중,13:00,20:00,00:00,00:00,Y,2,20000,,,90,119,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 갈현로 301,,서울특별시 은평구청,갈현1동,02-351-5096,http://yeyak.seoul.go.kr/,37.6236884800,126.9166888000,2021-09-01
"갈현1동 문화의집 문화창작실(4층)",갈현1동 문화의집,강의실,휴관중,10:00,22:00,00:00,00:00,Y,2,15000,,,30,57,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 갈현로 301,,서울특별시 은평구청,갈현1동,02-351-5096,http://yeyak.seoul.go.kr/,37.6236884800,126.9166888000,2021-09-01
"갈현2동주민센터 4층 사례회의실",갈현2동 자치회관,회의실,휴관중,09:00,21:00,00:00,00:00,Y,2,10000,,,12,25.89,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 연서로27길 31-6,,서울특별시 은평구청,갈현2동,02-351-5125,http://yeyak.seoul.go.kr/,37.6186753700,126.9157763000,2021-09-01
"갈현2동 자치회관 3층 소강좌실 대관",갈현2동 자치회관,강의실,휴관중,09:00,21:00,00:00,00:00,Y,2,10000,,,16,17.71,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 연서로27길 31-6,,서울특별시 은평구청,갈현2동,02-351-5125,http://yeyak.seoul.go.kr/,37.6186753700,126.9157763000,2021-09-01
"갈현2동 자치회관 4층 컴퓨터실 대관",갈현2동 자치회관,기타,휴관중,09:00,21:00,00:00,00:00,Y,2,10000,,,16,40.25,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 연서로27길 31-6,,서울특별시 은평구청,갈현2동,02-351-5125,http://yeyak.seoul.go.kr/,37.6186753700,126.9157763000,2021-09-01
"갈현2동 자치회관 3층 다목적실",갈현2동 자치회관,다목적실,휴관중,09:00,21:00,00:00,00:00,Y,2,25000,,,100,154.87,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 연서로27길 31-6,,서울특별시 은평구청,갈현2동,02-351-5125,http://yeyak.seoul.go.kr/,37.6186753700,126.9157763000,2021-09-01
"구산동 자치회관 3층 직원식당",구산동 자치회관,회의실,휴관중,09:00,22:00,10:00,14:00,Y,2,10000,,,50,30,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 갈현로17길 10,,서울특별시 은평구청,구산동,02-351-5154,http://yeyak.seoul.go.kr/,37.6117558400,126.9103541000,2021-09-01
"구산동 자치회관 2층 회의실",구산동 자치회관,회의실,휴관중,09:00,18:00,00:00,00:00,Y,2,15000,,,50,80,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 갈현로17길 10,,서울특별시 은평구청,구산동,02-351-5154,http://yeyak.seoul.go.kr/,37.6117558400,126.9103541000,2021-09-01
"구산동 자치회관 3층 다목적실",구산동 자치회관,다목적실,휴관중,09:00,18:00,09:00,13:00,Y,2,15000,,,50,90,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 갈현로17길 10,,서울특별시 은평구청,구산동,02-351-5154,http://yeyak.seoul.go.kr/,37.6117558400,126.9103541000,2021-09-01
"구산동 자치회관 지층 문화건강증진실",구산동 자치회관,다목적실,휴관중,09:00,18:00,09:00,13:00,Y,2,25000,,,50,160,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 갈현로17길 10,,서울특별시 은평구청,구산동,02-351-5154,http://yeyak.seoul.go.kr/,37.6117558400,126.9103541000,2021-09-01
"대조동 자치회관 2층 다목적실",대조동 자치회관,다목적실,휴관중,09:00,18:00,00:00,00:00,Y,2,15000,,,50,80,,공공서비스예약관리시스템 혹은 유선 문의,,서울특별시 은평구 연서로20길 24-3,,서울특별시 은평구청,대조동,02-351-5182,http://yeyak.seoul.go.kr/,37.6141759900,126.9208071000,2021-09-01
