개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
소공동 주민센터 강의실(3층),소공동 주민센터,강의실,1월 1일+설 연휴+추석 연휴,09:00,21:00,10:00,18:00,N,,,,,18,126.25,책상+의자+화이트보드+오디오+냉난방기+사회대,온라인+전화+방문,,서울특별시 중구 남대문로1길 31-5,,서울특별시 중구 소공동,소공동주민센터,02-3396-6507,http://www.junggu.seoul.kr/dong/sogong/main.do,37.5624216,126.9770418,2022-05-30
소공동 주민센터 강당(4층),소공동 주민센터,강당,1월 1일+설 연휴+추석 연휴,09:00,21:00,10:00,18:00,N,,,,,24,135.54,책상+의자+화이트보드+음향기기+냉난방기+사회대+빔프로젝터+전면거울+탈의실,온라인+전화+방문,,서울특별시 중구 남대문로1길 31-5,,서울특별시 중구 소공동,소공동주민센터,02-3396-6507,http://www.junggu.seoul.kr/dong/sogong/main.do,37.5624216,126.9770418,2022-05-30
회현동 주민센터 복합커뮤니티공간(다락) (2층),회현동 주민센터,기타,1월 1일+설 연휴+추석 연휴,09:00,21:00,10:00,18:00,N,,,,,30,86,빔프로젝터+책상+의자+냉난방설비,전화+방문,,서울특별시 중구 퇴계로8길 46,,서울특별시 중구 회현동,회현동주민센터,02-3396-6543,http://www.junggu.seoul.kr/dong/hoehyeon/main.do,37.557286,126.979356,2022-05-30
회현동 주민센터 음악창작소(2층),회현동 주민센터,기타,1월 1일+설 연휴+추석 연휴,09:00,21:00,10:00,18:00,N,,,,,5,40,피아노+드럼+기타+냉난방설비+책상+의자,온라인+전화+방문,,서울특별시 중구 퇴계로8길 46,,서울특별시 중구 회현동,회현동주민센터,02-3396-6543,http://www.junggu.seoul.kr/dong/hoehyeon/main.do,37.557286,126.979356,2022-05-30
회현동 주민센터 강당(3층),회현동 주민센터,강당,1월 1일+설 연휴+추석 연휴,09:00,21:00,10:00,18:00,N,,,,,10,231,탁구대+사회대+냉난방설비+책상+의자,전화+방문,,서울특별시 중구 퇴계로8길 46,,서울특별시 중구 회현동,회현동주민센터,02-3396-6543,http://www.junggu.seoul.kr/dong/hoehyeon/main.do,37.557286,126.979356,2022-05-30
명동 주민센터 강당(3층),명동 주민센터,강당,1월 1일+설 연휴+추석 연휴,09:00,21:00,10:00,18:00,N,,,,,15,120,빔프로젝터+사회대+CD플레이어+마이크+책상+의자+화이트보드+커피머신,온라인+전화+방문,,서울특별시 중구 퇴계로20길 3,,서울특별시 중구 명동,명동주민센터,02-3396-8484,http://www.junggu.seoul.kr/dong/myeong/main.do,37.560047,126.985816,2022-05-30
필동 주민센터 강당(2층),필동 주민센터,강당,1월 1일+설 연휴+추석 연휴,09:00,21:00,10:00,18:00,N,,,,,30,120,빔프로젝터+음향기기+화이트보드책상+의자+사회대+전면거울,온라인+전화+방문,,서울특별시 중구 퇴계로36길 42,,서울특별시 중구 필동,필동주민센터,02-3396-6592,http://www.junggu.seoul.kr/dong/pil/main.do,37.560156,126.995599,2022-05-30
"필동 주민센터 복합스튜디오(연주실,녹음실)",필동 주민센터,기타,1월 1일+설 연휴+추석 연휴,09:00,21:00,10:00,18:00,N,,,,,5,16.7,대형TV+컴퓨터,온라인+전화+방문,,서울특별시 중구 퇴계로36길 42,,서울특별시 중구 필동,필동주민센터,02-3396-6592,http://www.junggu.seoul.kr/dong/pil/main.do,37.560156,126.995599,2022-05-30
필동 주민센터 갤러리(2층),필동 주민센터,기타,1월 1일+설 연휴+추석 연휴,09:00,21:00,10:00,18:00,N,,,,,20,26,,온라인+전화+방문,,서울특별시 중구 퇴계로36길 42,,서울특별시 중구 필동,필동주민센터,02-3396-6592,http://www.junggu.seoul.kr/dong/pil/main.do,37.560156,126.995599,2022-05-30
필동 작은도서관 3층,필동 작은도서관,기타,1월 1일+설 연휴+추석 연휴,09:00,21:00,10:00,18:00,N,,,,,12,35,빔프로젝터,자유이용,,서울특별시 중구 필동로 11,,서울특별시 중구 필동,필동주민센터,02-3396-6592,http://www.junggu.seoul.kr/dong/pil/main.do,37.56054496,126.9962367,2022-05-30
