기관명,소재지도로명주소,주요업무,전화번호,팩스번호,데이터기준일자
송파구청,서울특별시 송파구 올림픽로 326 (신천동),"송파구 내 행정, 서무, 재정, 구민의 고충 및 민원사항, 재해구조 등의 업무수행",02-2147-2000,02-419-0644,2020-08-10
송파구의회,서울특별시 송파구 백제고분로 242,"결산안의 승인 및 기타 의회의 부의안건을 심의의결, 행정사무감사와 예산의 의결 및 기타 의회의 부의안건을 심의의결",02-2147-3600,02-2147-3956,2020-08-11
송파구보건소,서울특별시 송파구 올림픽로 326(신천동),구민의 건강을 관리하는 공공 보건의료기관으로써 구민의 다양한 보건 의료 욕구를 충족시키고 의료 서비스 제공,02-2147-3455,02-2147-2895,2020-08-12
송파구 구민회관,서울특별시 송파구 백제고분로 242(삼전동),"구민에 대한 종합복지, 편익시설의 제공과 문화의식 향상에 기여하기 위함",02-2147-3560,,2020-08-13
송파구선거관리위원회,서울특별시 송파구 송파대로49길 3 (석촌동 182-2) 중기빌딩 3층,"‘공직선거법’에 규정된 대통령선거, 국회의원선거, 지방의회의원 및 지방자치단체의장선거를 관리 하고 있습니다.",02-412-1201,050-5058-2157,2020-08-14
송파구시설관리공단,서울특별시 송파구 충민로 66 테크노관 10층,송파구의 시설물을 효율적으로 운영하여 송파구의 발전과 지역주민의 복리증진,02-2157-1114,,2020-08-15
송파구체육문화회관,서울특별시 송파구 양산로 15(거여동),체육과 문화의 복합 공간으로 차별화된 서비스로 스포츠 문화 및 레저 제공,02-402-3291,02-402-9623,2020-08-16
송파구여성문화회관,서울특별시 송파구 백제고분로 42길 5 (송파동),여성의 권익보호와 복지향상을 위한 문화복지 사업 및 복지 서비스 제공,02-2203-3330,02-418-3863,2020-08-17
송파구어린이문화회관,서울특별시 송파구 중대로 235 송파 어린이 문화회관,아이를 낳아 잘 키울 수 있는 문화적 환경을 통해 영유아의 건강한 성장을 도모하고 저출산을 극복하기 위해서 설립,02-449-0505,02-449-0535,2020-08-18
송파구문화원,서울특별시 송파구 올림픽로 44,전통문화의 계승 및 발전을 위해 유관기관과 함께 다양한 문화행사를 개최,02-414-0354,02-414-0357,2020-08-19
송파구상공회,서울특별시 송파구 올림픽로 8 송파구상공회관,다양한 기업정보와 축적된 노하우를 바탕으로 송파구 관내 중소상공인에 대한 경영활동 지원과 지역경제 활성화를 도모,02-412-3427,02-412-3511,2020-08-20
송파구세무서,서울특별시 송파구 강동대로 62 (풍납동),각종 세금 관련 정보를 제공하고 국세행정의 발전을 위함,02-2224-9200,,2020-08-21
송파경찰서,서울특별시 송파구 중대로 221,송파구 치안 관리,,,2020-08-22
송파소방서,서울특별시 송파구 오금로51길 56(마천동),재난행정과 소방서비스 관리,02-431-5119,02-430-8119,2020-08-23
송파여성인력개발센터,서울특별시 송파구 중대로9길 34(가락동) 대호빌딩2층,여성의 능력개발과 사회적 지위 향상 지원,02-430-6070,02-430-6071,2020-08-24
송파도서관,"서울특별시 송파구 동남로 263 (오금동, 송파도서관)",24만여권의 장서와 1만여점의 비도서자료를 소장하고 다양한 독서문화프로그램과 평생학습강좌를 운영,02-3434-3333,02-448-8790,2020-08-25
송파구자원봉사센터,서울특별시 송파구 백제고분로 242 (삼전동) 송파구민회관 2층,"청소년 자원봉사교육을 필두로 은퇴어르신 봉사단 활성화, 동(洞)자원봉사캠프를 통해 봉사자의 접근성을 확대하는 등 다양한 분야에서 자원봉사 실천 문화를 확산",02-2202-1365,02-2202-1104,2020-08-26
송파노인종합복지관,서울특별시 송파구 백제고분로 32길 41 (삼전동 172-2),노인의 자아실현을 위한 평생교육센터 및 노인문화를 선도,02-2203-9400,02-2203-9421,2020-08-27
